Top_k,Detection Threshold,Max Iters,Rotation method,Time,Mean Distance,Max Distance,RMSE
512,0.05,,PIL,10.832942724227905,29.77542284353348,30.130248280936087,29.780092336147522
512,0.05,100,PIL,9.854821681976318,29.69559826506415,30.05226844141948,29.700176547458803
512,0.05,300,PIL,10.417746305465698,29.641296312626938,29.999508774239906,29.64577179615305
512,0.05,500,PIL,9.671595335006714,29.612656847585686,29.972102459473177,29.617018666093365
512,0.01,,PIL,9.733078002929688,29.60975371230571,29.970119048846016,29.613991871881545
512,0.01,100,PIL,9.654646873474121,29.632593782050197,29.993563580967486,29.636699292295383
512,0.01,300,PIL,9.590426683425903,29.68111688575794,30.04237652356364,29.685081868512405
512,0.01,500,PIL,9.681945562362671,29.755196595861065,30.116434520859038,29.7590143682625
256,0.05,,PIL,8.722132205963135,29.851897351447036,30.215518929923544,29.855668159197243
256,0.05,100,PIL,8.886040210723877,29.95365343567535,30.316312413313618,29.957247227073267
256,0.05,300,PIL,8.968364715576172,30.08394113685983,30.445303436108247,30.087354324689347
256,0.05,500,PIL,8.931018352508545,30.242390685689166,30.602135429230394,30.2456212950836
256,0.01,,PIL,9.088770389556885,30.428561170965036,30.78638291046208,30.431608781260366
256,0.01,100,PIL,9.03731632232666,30.641946410518276,30.99755701256045,30.644812065225437
256,0.01,300,PIL,8.790623903274536,30.881981429251283,31.235111601854808,30.884667519695743
256,0.01,500,PIL,8.831275224685669,31.14804936329644,31.498449810955183,31.150559492096043
512,0.05,,CV2,9.643815040588379,31.440058776973782,31.786957647000257,31.442377170622954
512,0.05,100,CV2,9.671144008636475,31.76379608200707,32.10801438497506,31.765966090588005
512,0.05,300,CV2,9.908937692642212,32.10801556563501,32.44939455541489,32.11004249444816
512,0.05,500,CV2,9.817173480987549,32.47206557688754,32.8104637882983,32.473955162745895
512,0.01,,CV2,9.728290557861328,32.855286698885145,33.190579513840255,32.85704500136126
512,0.01,100,CV2,10.020762920379639,33.257016036196006,33.589095109844486,33.258649337005515
512,0.01,300,CV2,9.94408631324768,33.676591116944685,34.00536368281727,33.67810582870135
512,0.01,500,CV2,9.918116092681885,34.11335339371969,34.438741485056774,34.114755978777126
256,0.05,,CV2,8.931173324584961,34.56781067379334,34.88857015788407,34.56908782780599
256,0.05,100,CV2,9.062195301055908,35.04164509750794,35.35837501193047,35.04281256965742
256,0.05,300,CV2,8.97802209854126,35.53359498090097,35.84624840493069,35.53466022935515
256,0.05,500,CV2,8.68300724029541,36.04291862564694,36.351462847648676,36.0438889064171
256,0.01,,CV2,8.896980047225952,36.568890202615016,36.873305556274985,36.56977252085229
256,0.01,100,CV2,8.813572406768799,37.11080198596641,37.411080696582125,37.11160305871087
256,0.01,300,CV2,8.73476791381836,37.6679661475644,37.96411120611784,37.668692376719314
256,0.01,500,CV2,8.98515772819519,38.239716149644316,38.53174022599958,38.24037360390774
