Top_k,Detection Threshold,Max Iters,Rotation method,Trace depth,Time,Mean Distance,Max Distance,RMSE
512,0.05,None,PIL,8,75.0461688041687,23.578004763536807,67.3207085794953,26.05240593147521
512,0.05,None,PIL,4,75.45412039756775,65.83616260520525,110.08443860435584,66.70516565085308
512,0.05,None,CV2,8,74.36079502105713,114.26963822060553,157.03422609388966,114.78331310389748
512,0.05,None,CV2,4,77.24245166778564,163.51498033086318,205.31807851925674,163.87663197867013
512,0.05,100,PIL,8,76.6884171962738,213.0068435219024,254.17675182099123,213.2851276732666
512,0.05,100,PIL,4,76.48218393325806,262.60510205527396,303.33251309400805,262.8310035704123
512,0.05,100,CV2,8,75.98259782791138,312.2588025040473,352.66107284958264,312.44881932702464
512,0.05,100,CV2,4,76.14592695236206,361.94499825176877,402.09876835658923,362.10892339974123
512,0.05,300,PIL,8,75.24009990692139,411.65183545882223,451.609695494745,411.7959464273043
512,0.05,300,PIL,4,74.94299483299255,461.3725733604907,501.1720930905516,461.501130983192
512,0.05,300,CV2,8,75.40291690826416,511.1030958519598,550.7720135694028,511.21912283753
512,0.05,300,CV2,4,77.68656492233276,560.8407473603231,600.4001091888508,560.9464648219503
512,0.05,500,PIL,8,74.82134532928467,610.5837378166984,650.0498822217014,610.6808252736794
512,0.05,500,PIL,4,74.70921659469604,660.3308166106661,699.7166766976186,660.4205746115059
512,0.05,500,CV2,8,74.49163126945496,710.0810836088501,749.397069560597,710.1645396447611
512,0.05,500,CV2,4,75.0905249118805,759.833874416687,799.0884881909311,759.9118542866552
512,0.01,None,PIL,8,74.73661375045776,809.5877581279908,848.7868467712736,809.6609329219523
512,0.01,None,PIL,4,75.1855366230011,859.3428940334883,898.4927993399881,859.4118213366328
512,0.01,None,CV2,8,74.677499294281,909.0993523316477,948.2051210326558,909.164497707704
512,0.01,None,CV2,4,74.69557070732117,958.8568969731297,997.9228309159645,958.9186534677245
512,0.01,100,PIL,8,74.7585232257843,1008.61533847403,1047.645134170626,1008.6740409234579
512,0.01,100,PIL,4,75.10943222045898,1058.3745229727992,1097.3713799630784,1058.4304589514186
512,0.01,100,CV2,8,74.66130995750427,1108.134324234666,1147.1010302704817,1108.1877425455193
512,0.01,100,CV2,4,75.17243218421936,1157.8946377171983,1196.8336364580275,1157.945755058755
512,0.01,300,PIL,8,75.07807469367981,1207.6553761024834,1246.5688214616246,1207.7043823620957
512,0.01,300,PIL,4,75.07345795631409,1257.4164658899988,1296.30626606705,1257.4635283899704
512,0.01,300,CV2,8,75.39060854911804,1307.1778447673437,1346.0456982287956,1307.2231117027472
512,0.01,300,CV2,4,75.09299278259277,1356.939459559458,1395.786884668128,1356.9830628054956
512,0.01,500,PIL,8,75.13408613204956,1406.7012646129465,1445.529624209464,1406.7433220356393
512,0.01,500,PIL,4,74.77558851242065,1456.463220511465,1495.2737424410589,1456.5038378834897
512,0.01,500,CV2,8,75.0159842967987,1506.2252930457544,1545.0190874087525,1506.2645656456903
512,0.01,500,CV2,4,75.22454762458801,1555.987452381284,1594.765526115377,1556.0254663370276
256,0.05,None,PIL,8,71.26460981369019,1605.664855352756,1644.4562892422503,1605.701922323212
256,0.05,None,PIL,4,71.3566746711731,1655.3652207222901,1694.1476796299523,1655.4011790385293
256,0.05,None,CV2,8,71.38840007781982,1705.0656654173576,1743.8396270161406,1705.1005794243767
256,0.05,None,CV2,4,71.40980911254883,1754.7661661355687,1793.5320689206285,1754.8000947356295
256,0.05,100,PIL,8,71.12613916397095,1804.466702144191,1843.2249496044174,1804.4996993937234
256,0.05,100,PIL,4,71.58211970329285,1854.1672549356613,1892.918219178675,1854.199370562535
256,0.05,100,CV2,8,71.43467712402344,1903.8678079365461,1942.6118328591901,1903.8990877901276
256,0.05,100,CV2,4,71.56549286842346,1953.5683462615002,1992.3057503317639,1953.5988327057069
256,0.05,300,PIL,8,71.73838806152344,2003.268856503627,2041.9999352022826,2003.2985887614288
256,0.05,300,PIL,4,71.42469930648804,2052.969326555248,2091.694354538924,2052.998341011637
256,0.05,300,CV2,8,72.00693035125732,2102.6697454544365,2141.3889784645885,2102.6980759237335
256,0.05,300,CV2,4,71.70935487747192,2152.3701032523736,2191.083779812156,2152.3977812147887
256,0.05,500,PIL,8,71.56058263778687,2202.070390899046,2240.7787338268936,2202.097445710643
256,0.05,500,PIL,4,71.68452501296997,2251.770600144086,2290.4738178981884,2251.797059223664
256,0.05,500,CV2,8,71.73348355293274,2301.47072345007,2340.169011339869,2301.49661244593
256,0.05,500,CV2,4,71.61810326576233,2351.170753917421,2389.864295184198,2351.1960968565763
256,0.01,None,PIL,8,71.6045286655426,2400.870113434685,2439.5589577600517,2400.894932814302
256,0.01,None,PIL,4,71.64060759544373,2450.569299955784,2489.2536789058345,2450.59361695187
256,0.01,None,CV2,8,71.45721745491028,2500.2683755930007,2538.948443752465,2500.2922101221607
256,0.01,None,CV2,4,71.74890089035034,2549.967335445166,2588.6432385723124,2549.9907062627663
256,0.01,100,PIL,8,71.54001832008362,2599.6661749860664,2638.338050670963,2599.6890997747782
256,0.01,100,PIL,4,71.60675835609436,2649.364890029254,2688.03286829253,2649.3873854793205
256,0.01,100,CV2,8,71.65139746665955,2699.0634766966923,2737.7276805359556,2699.085558578822
256,0.01,100,CV2,4,71.43869304656982,2748.761931390864,2787.422477277251,2748.78361462256
256,0.01,300,PIL,8,71.58654808998108,2798.4602507699037,2837.1172491006937,2798.481549475909
256,0.01,300,PIL,4,71.34104228019714,2848.15843172525,2886.811987238696,2848.179359292742
256,0.01,300,CV2,8,71.41507053375244,2897.8564713616042,2936.50668351844,2897.8770404906627
256,0.01,300,CV2,4,71.3510148525238,2947.55436697892,2986.20133031082,2947.5745897287547
256,0.01,500,PIL,8,71.64769530296326,2997.252116056275,3035.8959204851994,2997.272003887629
256,0.01,500,PIL,4,71.65785551071167,3046.949716237221,3085.5904473707506,3046.969280051322
