Top_k,Detection Threshold,Max Iters,Rotation method,Trace depth,Max Distance,Min Distance,RMSE,Avg FPS
512,0.05,None,PIL,8,85.2627662811255,2.443653086672076,32.95372469132174,1.5999999999999999
512,0.05,None,PIL,4,84.37798613124214,4.491480154595156,41.24099960739723,2.5
512,0.05,None,CV2,8,85.2353930927671,15.783239613278369,51.1000219526457,1.55
512,0.05,None,CV2,4,88.14935367689527,27.642257433258823,61.78287267078127,2.62
512,0.05,100.0,PIL,8,92.81056534245984,39.4571844830632,72.92840741201296,4.933333333333334
512,0.05,100.0,PIL,4,101.57259753139392,48.538132110457646,84.3534185644564,4.114285714285715
512,0.05,100.0,CV2,8,113.67522973585336,57.26770285695064,95.95812850604035,4.0
512,0.05,100.0,CV2,4,125.7880683507613,66.01704908322276,107.68445310079376,5.133333333333334
512,0.05,300.0,PIL,8,137.90842122447327,75.31726999227095,119.49659194540612,3.3166666666666664
512,0.05,300.0,PIL,4,150.03446468847184,85.33843120148842,131.3713963942741,4.7
512,0.05,300.0,CV2,8,162.1649197944733,95.85468186553923,143.29328517068427,3.5
512,0.05,300.0,CV2,4,174.2988632227525,106.71975903872904,155.25140921482063,4.25
512,0.05,500.0,PIL,8,186.43561179153616,117.82900708169316,167.23799352560005,3.033333333333333
512,0.05,500.0,PIL,4,198.5746492004642,129.08549228446046,179.2473264631683,4.216666666666667
512,0.05,500.0,CV2,8,210.7155780371238,140.41435886229718,191.2751211833404,2.9166666666666665
512,0.05,500.0,CV2,4,222.85808743348076,151.87110245406407,203.31809934272064,4.266666666666667
512,0.01,None,PIL,8,235.2866999121884,163.44067745055568,215.40953413880803,1.6
512,0.01,None,PIL,4,247.70124752909848,175.35684267495267,227.74547385999,3.04
512,0.01,None,CV2,8,260.1165674473493,187.33882770634744,240.09035579446103,1.6814635677523022
512,0.01,None,CV2,4,272.5325526115876,199.374763960288,252.44286645027304,2.6238146542574072
512,0.01,100.0,PIL,8,284.94911462046065,211.4429235377372,264.80193668172484,3.8585453133341465
512,0.01,100.0,PIL,4,297.3661798337253,223.5412042589174,277.1666875187644,4.68269495110569
