Params 1,Params 2,Mean Distance VIO,Time 1,Time 2
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}",799.3438882567968,75.0461688041687,75.45412039756775
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 8}",756.159995533695,75.0461688041687,74.36079502105713
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 4}",713.7916609906245,75.0461688041687,77.24245166778564
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 8}",672.3938213571734,75.0461688041687,76.6884171962738
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 4}",632.1581963909899,75.0461688041687,76.48218393325806
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 8}",593.3226648932884,75.0461688041687,75.98259782791138
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 4}",556.1824619189855,75.0461688041687,76.14592695236206
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 8}",521.1027366217013,75.0461688041687,75.24009990692139
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 4}",488.53091389349686,75.0461688041687,74.94299483299255
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 8}",459.00557816603117,75.0461688041687,75.40291690826416
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 4}",433.15563669529956,75.0461688041687,77.68656492233276
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 8}",411.68054740115446,75.0461688041687,74.82134532928467
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 4}",395.3011284147286,75.0461688041687,74.70921659469604
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 8}",384.6759159863381,75.0461688041687,74.49163126945496
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 4}",380.2935327733273,75.0461688041687,75.0905249118805
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}",390.23363280589285,75.0461688041687,74.73661375045776
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}",395.58004279414746,75.0461688041687,75.1855366230011
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 8}",406.9624659879192,75.0461688041687,74.677499294281
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 4}",423.8942224297146,75.0461688041687,74.69557070732117
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 8}",445.7421393522762,75.0461688041687,74.7585232257843
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 4}",471.82217227755643,75.0461688041687,75.10943222045898
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 8}",501.4726766653325,75.0461688041687,74.66130995750427
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 4}",534.0975810358232,75.0461688041687,75.17243218421936
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 8}",569.1840557001659,75.0461688041687,75.07807469367981
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 4}",606.3035509526673,75.0461688041687,75.07345795631409
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 8}",645.1041333438864,75.0461688041687,75.39060854911804
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 4}",685.2994863585877,75.0461688041687,75.09299278259277
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 8}",726.6575745495408,75.0461688041687,75.13408613204956
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 4}",768.9903914483435,75.0461688041687,74.77558851242065
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 8}",812.1452558999878,75.0461688041687,75.0159842967987
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 4}",855.9976979012283,75.0461688041687,75.22454762458801
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}",1445.193492529855,75.0461688041687,71.26460981369019
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}",1487.2411332881427,75.0461688041687,71.3566746711731
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 8}",1529.7038540215185,75.0461688041687,71.38840007781982
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 4}",1572.5536679776758,75.0461688041687,71.40980911254883
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 8}",1615.7645514865171,75.0461688041687,71.12613916397095
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 4}",1659.3123272777555,75.0461688041687,71.58211970329285
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 8}",1703.1745536406036,75.0461688041687,71.43467712402344
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 4}",1747.3304022748644,75.0461688041687,71.56549286842346
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 8}",1791.7605604372136,75.0461688041687,71.73838806152344
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 4}",1836.4471211936952,75.0461688041687,71.42469930648804
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 8}",1881.3734852210675,75.0461688041687,72.00693035125732
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 4}",1926.524264012137,75.0461688041687,71.70935487747192
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 8}",1971.8851975104628,75.0461688041687,71.56058263778687
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 4}",2017.4430629406593,75.0461688041687,71.68452501296997
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 8}",2063.18560027376,75.0461688041687,71.73348355293274
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 4}",2109.1014376974313,75.0461688041687,71.61810326576233
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}",2151.3997424577083,75.0461688041687,71.6045286655426
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}",2197.5962837622283,75.0461688041687,71.64060759544373
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 8}",2243.9382857300675,75.0461688041687,71.45721745491028
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 4}",2290.4171992156607,75.0461688041687,71.74890089035034
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 8}",2337.02508048557,75.0461688041687,71.54001832008362
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 4}",2383.7545365361248,75.0461688041687,71.60675835609436
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 8}",2430.598686395018,75.0461688041687,71.65139746665955
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 4}",2477.5511169212587,75.0461688041687,71.43869304656982
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 8}",2524.605856920257,75.0461688041687,71.58654808998108
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 4}",2571.7573328960934,75.0461688041687,71.34104228019714
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 8}",2619.0003440652586,75.0461688041687,71.41507053375244
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 4}",2666.3300288589885,75.0461688041687,71.3510148525238
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 8}",2713.7418497759677,75.0461688041687,71.64769530296326
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 4}",2761.231558155472,75.0461688041687,71.65785551071167
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 8}",2808.7951783195163,75.0461688041687,71.54274368286133
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}","{""top_k"": 256, ""detection_threshold"": 0.01, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 4}",2856.42898580324,75.0461688041687,71.66747426986694
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 8}",49.63982463060602,75.45412039756775,74.36079502105713
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 4}",99.2794539125485,75.45412039756775,77.24245166778564
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 8}",148.91889024570077,75.45412039756775,76.6884171962738
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 4}",198.55813205316016,75.45412039756775,76.48218393325806
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 8}",248.19717738453747,75.45412039756775,75.98259782791138
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 100, ""rotation"": ""CV2"", ""trace"": 4}",297.8360300752264,75.45412039756775,76.14592695236206
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 8}",347.47468733324695,75.45412039756775,75.24009990692139
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""PIL"", ""trace"": 4}",397.11315130520154,75.45412039756775,74.94299483299255
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 8}",446.75141894250055,75.45412039756775,75.40291690826416
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 300, ""rotation"": ""CV2"", ""trace"": 4}",496.38949516858827,75.45412039756775,77.68656492233276
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 8}",546.0273754773705,75.45412039756775,74.82134532928467
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""PIL"", ""trace"": 4}",595.6650606467798,75.45412039756775,74.70921659469604
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 8}",645.3025525748498,75.45412039756775,74.49163126945496
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": 500, ""rotation"": ""CV2"", ""trace"": 4}",694.9398481176218,75.45412039756775,75.0905249118805
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 8}",721.3719780459253,75.45412039756775,74.73661375045776
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}",771.0016140621501,75.45412039756775,75.1855366230011
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 8}",820.6317806515084,75.45412039756775,74.677499294281
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": null, ""rotation"": ""CV2"", ""trace"": 4}",870.2623527141689,75.45412039756775,74.69557070732117
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 8}",919.8932327887654,75.45412039756775,74.7585232257843
"{""top_k"": 512, ""detection_threshold"": 0.05, ""maxIters"": null, ""rotation"": ""PIL"", ""trace"": 4}","{""top_k"": 512, ""detection_threshold"": 0.01, ""maxIters"": 100, ""rotation"": ""PIL"", ""trace"": 4}",969.5243432396973,75.45412039756775,75.10943222045898
