Top_k,Detection Threshold,Max Iters,Rotation method,Time,Mean Distance,Max Distance,RMSE
512,0.05,,PIL,11.355359554290771,29.77542284353348,30.130248280936087,29.780092336147522
512,0.05,,PIL,11.512348890304565,29.69559826506415,30.05226844141948,29.700176547458803
512,0.05,,CV2,11.69744324684143,29.641296312626938,29.999508774239906,29.64577179615305
512,0.05,,CV2,12.268211126327515,29.612656847585686,29.972102459473177,29.617018666093365
512,0.05,100,PIL,12.31325650215149,29.60975371230571,29.970119048846016,29.613991871881545
512,0.05,100,PIL,12.490242958068848,29.632593782050197,29.993563580967486,29.636699292295383
512,0.05,100,CV2,13.120848417282104,29.68111688575794,30.04237652356364,29.685081868512405
512,0.05,100,CV2,15.546649694442749,29.755196595861065,30.116434520859038,29.7590143682625
512,0.05,300,PIL,13.73186206817627,29.85464186560314,30.215551943232626,29.858306995544105
512,0.05,300,PIL,12.48183798789978,29.979199462140606,30.339483186638855,29.982707795367983
512,0.05,300,CV2,13.857059478759766,30.128557126387182,30.487925648486847,30.131905785740873
512,0.05,300,CV2,13.616842031478882,30.30234736805156,30.660523317048,30.30553472641568
512,0.05,500,PIL,14.12012767791748,30.500151792788785,30.8568708542811,30.503177422309932
512,0.05,500,PIL,14.179287433624268,30.72150584832002,31.076518092793002,30.72437044917387
512,0.05,500,CV2,13.301405668258667,30.965903871090664,31.318974813805188,30.968609183572816
512,0.05,500,CV2,13.730928182601929,31.23280431892835,31.583715717367333,31.23535302292779
512,0.01,,PIL,12.980006456375122,31.521635075395395,31.870185472526202,31.524030681299234
512,0.01,,PIL,12.491568565368652,31.831798725144864,32.177803742648344,31.834045460085722
512,0.01,,CV2,12.228775024414062,32.16267770641926,32.50597011868288,32.16478039941394
512,0.01,,CV2,11.82065463066101,32.513639263117994,32.85406886095289,32.51560323221736
512,0.01,100,PIL,12.811713695526123,32.88404013157043,33.22147341241819,32.88587107560857
512,0.01,100,PIL,13.99677586555481,33.273230910872854,33.60755060948045,33.27493480785553
512,0.01,100,CV2,14.173983335494995,33.680560082700865,34.011664579272235,33.682143096349556
512,0.01,100,CV2,14.049594640731812,34.105377654608404,34.433180275603846,34.106846050035884
512,0.01,300,PIL,13.669394731521606,34.547038418018936,34.87146666019706,34.548398487094545
512,0.01,300,PIL,13.06931757926941,35.00490481785501,35.32589951834555,35.00616281439996
512,0.01,300,CV2,13.35768723487854,35.47834944205134,35.79586390669648,35.4795115267051
512,0.01,300,CV2,13.659982204437256,35.966757145025646,36.280756263869996,35.9678293393661
512,0.01,500,PIL,13.296846866607666,36.46952682390858,36.77998617763761,36.47051497322727
512,0.01,500,PIL,12.987191200256348,36.98607287235428,37.292977853482114,36.98698261637611
512,0.01,500,CV2,12.885833024978638,37.51582633557471,37.81917128498645,37.516663086320904
512,0.01,500,CV2,12.305321216583252,38.05823579589844,38.35802316960467,38.05900472188077
