Top_k,Detection Threshold,Max Iters,Rotation method,Trace depth,Time,Mean Distance,Max Distance,RMSE
512,0.05,None,PIL,8,18.724199295043945,0.0602059446016599,0.36746234953005324,0.10056785373511166
512,0.05,None,PIL,4,17.174306392669678,0.060724196277629684,0.36746235424307366,0.10060049285767068
512,0.05,None,CV2,8,16.958810806274414,0.06072419662747276,0.367462359080544,0.10060049337402374
512,0.05,None,CV2,4,17.60362696647644,0.060724196937005204,0.367462364691061,0.10060049393826133
512,0.05,100,PIL,8,17.76302671432495,0.06072419720800002,0.36746236850658476,0.10060049450294306
512,0.05,100,PIL,4,19.500200986862183,0.06072419755335323,0.36746237309515506,0.10060049499977036
512,0.05,100,CV2,8,21.058741569519043,0.0607241979061117,0.36746237870567205,0.10060049555675833
512,0.05,100,CV2,4,21.03848695755005,0.060724198219128216,0.36746238354314226,0.10060049619009351
512,0.05,300,PIL,8,19.893595457077026,0.060724198524332744,0.36746238735866577,0.1006004966325355
512,0.05,300,PIL,4,21.784069299697876,0.06072419882506401,0.367462391947236,0.10060049710708825
512,0.05,300,CV2,8,19.196884393692017,0.06072419912750686,0.367462397557753,0.10060049771298805
512,0.05,300,CV2,4,18.206982135772705,0.06072419951276895,0.3674624014977263,0.10060049832013393
512,0.05,500,PIL,8,17.412583589553833,0.060724199839546564,0.3674624062107464,0.10060049878991581
512,0.05,500,PIL,4,17.631552934646606,0.06072420012742473,0.3674624116968133,0.10060049937055772
512,0.05,500,CV2,8,17.515307188034058,0.06072420036519343,0.3674624155123366,0.10060049988167698
512,0.05,500,CV2,4,17.39333939552307,0.06072420077116917,0.36746242022535663,0.10060050044604384
512,0.01,None,PIL,8,19.094946146011353,0.05084115680790489,0.23634188408969634,0.07586006828360353
512,0.01,None,PIL,4,19.08370018005371,0.05084111750571187,0.23634189252014828,0.0758600685886242
512,0.01,None,CV2,8,19.01262354850769,0.05084111845732239,0.2363419018570126,0.07586007001539125
512,0.01,None,CV2,4,19.50061273574829,0.050841119312890246,0.23634191119387668,0.07586007134019783
512,0.01,100,PIL,8,18.398660898208618,0.050841120230245646,0.23634192053074063,0.07586007271234851
512,0.01,100,PIL,4,18.850347757339478,0.05084112109528651,0.23634192986760438,0.07586007406586015
512,0.01,100,CV2,8,17.71792984008789,0.0508411219514721,0.23634193920446794,0.07586007542109548
512,0.01,100,CV2,4,17.938332557678223,0.050841122837730346,0.23634194950547835,0.07586007679700565
512,0.01,300,PIL,8,19.628063917160034,0.05084112375456084,0.23634195878460734,0.07586007817277052
512,0.01,300,PIL,4,18.9800808429718,0.050841124601662895,0.23634196812147037,0.07586007954481065
512,0.01,300,CV2,8,19.38658356666565,0.050841125442813224,0.23634197751606748,0.07586008086928005
512,0.01,300,CV2,4,20.561755657196045,0.050841126348256487,0.23634198588878302,0.07586008223812306
512,0.01,500,PIL,8,20.036919593811035,0.05084112720203391,0.23634199522564553,0.07586008358212933
512,0.01,500,PIL,4,19.036280155181885,0.05084112811412891,0.23634200462024202,0.07586008492742737
512,0.01,500,CV2,8,19.317793607711792,0.05084112903832032,0.23634201389936993,0.07586008634835638
512,0.01,500,CV2,4,18.57122254371643,0.05084112983762608,0.23634202323623182,0.07586008764239896
256,0.05,None,PIL,8,18.877097129821777,0.06785027068317348,0.5999445221565356,0.12760476313279745
256,0.05,None,PIL,4,19.6888108253479,0.06785027243665599,0.5999445425839415,0.12760476686789954
256,0.05,None,CV2,8,19.04038953781128,0.06785027416923956,0.5999445630113471,0.12760477058792596
256,0.05,None,CV2,4,18.409501314163208,0.0678502759040946,0.5999445834387527,0.12760477430140257
256,0.05,100,PIL,8,18.111499547958374,0.06785027767274589,0.5999446038661579,0.12760477802808426
256,0.05,100,PIL,4,16.483829259872437,0.06785027936316454,0.5999446242935629,0.12760478173761697
256,0.05,100,CV2,8,16.657540559768677,0.06785028113429584,0.5999446447209676,0.12760478548822424
256,0.05,100,CV2,4,16.655879735946655,0.06785028282962904,0.5999446647335885,0.12760478915362455
256,0.05,300,PIL,8,16.92445993423462,0.06785028458998384,0.5999446855757767,0.12760479293207397
256,0.05,300,PIL,4,18.081311225891113,0.06785028630421769,0.5999447060031808,0.12760479662436383
256,0.05,300,CV2,8,20.008305549621582,0.06785028803392779,0.5999447264305849,0.12760480033499114
256,0.05,300,CV2,4,18.942591667175293,0.06785028978291809,0.5999447460844614,0.12760480404194735
256,0.05,500,PIL,8,19.937195777893066,0.06785029148154119,0.599944766511865,0.12760480775097877
256,0.05,500,PIL,4,20.11457395553589,0.06785029321901116,0.5999447869392683,0.1276048114919789
256,0.05,500,CV2,8,19.74970054626465,0.06785029494821308,0.5999448073666714,0.1276048151936457
256,0.05,500,CV2,4,19.9062180519104,0.06785029669401844,0.5999448277940742,0.12760481892230421
256,0.01,None,PIL,8,20.02091097831726,0.06785029841014516,0.5999448482214769,0.1276048226198454
256,0.01,None,PIL,4,20.091563940048218,0.06785030012145979,0.5999448686488794,0.12760482631915174
256,0.01,None,CV2,8,19.941755294799805,0.06785030187396812,0.5999448890762816,0.12760483005169834
256,0.01,None,CV2,4,20.01637840270996,0.0678503036074048,0.5999449095036837,0.1276048337556145
256,0.01,100,PIL,8,19.772663831710815,0.06785030534995393,0.5999449299310855,0.12760483749660945
256,0.01,100,PIL,4,19.89289140701294,0.06785030706451903,0.5999449503584872,0.12760484119682963
256,0.01,100,CV2,8,19.91714882850647,0.06785030883456257,0.5999449707858885,0.12760484494587093
256,0.01,100,CV2,4,19.868854999542236,0.06785031053200123,0.5999449912132897,0.12760484862697472
256,0.01,300,PIL,8,19.795420169830322,0.06785031229823865,0.5999450116406908,0.12760485238741975
256,0.01,300,PIL,4,19.920060873031616,0.06785031401247212,0.5999450320680916,0.1276048560797093
256,0.01,300,CV2,8,19.795283555984497,0.0678503157495807,0.5999450524954921,0.12760485980166172
256,0.01,300,CV2,4,19.94658374786377,0.06785031750975534,0.5999450729228925,0.12760486353870837
256,0.01,500,PIL,8,19.864464044570923,0.06785031922216776,0.5999450933502927,0.1276048672481955
256,0.01,500,PIL,4,19.839395761489868,0.06785032095660848,0.5999451137776926,0.12760487098348675
256,0.01,500,CV2,8,19.739840507507324,0.06785032266660704,0.5999451342050923,0.1276048746867674
256,0.01,500,CV2,4,19.871044397354126,0.06785032442846808,0.5999451546324919,0.12760487842001478
